key,Total Occurrences,whaleSharkID,organismID,identificationID,Oldest Occurrence,Newest Occurrence,HUMAN_OBSERVATION,MACHINE_OBSERVATION,sex,lifeStage (year),continent (year),publishingCountry (year),country (year),stateProvince - verbatimLocality (month year),occurrenceRemarks (eventDate),lat:decimalLatitude long:decimalLongitude (eventDate),"imageURL (license, creator)"
3089691304,4,101373,101373,,2011-04-25,2011-04-25,0,4,Male,Adult (2011),North America (2011),United States (2011),Guatemala (2011),Unknown,Telemetry locations aggregated per species per 1-degree cell (2011-04-25),lat:15.5 long:-88.5 (Unknown 2011-04-25),Unknown
3089691343,4,101369a,101369a,,2010-10-30,2010-10-30,0,4,Male,Unknown (year Unknown),North America (year Unknown),United States (year Unknown),Mexico (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2010-10-30),lat:22.5 long:-91.5 (Gulf of Mexico 2010-10-30),Unknown
3089691372,4,101369a,101369a,,2010-11-07,2010-11-07,0,4,Male,Unknown (year Unknown),North America (year Unknown),United States (year Unknown),Mexico (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2010-11-07),lat:22.5 long:-93.5 (Gulf of Mexico 2010-11-07),Unknown
3089691400,4,112468,112468,,2010-12-01,2010-12-01,0,4,Male,Unknown (year Unknown),North America (year Unknown),United States (year Unknown),United States (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2010-12-01),lat:26.5 long:-94.5 (Gulf of Mexico 2010-12-01),Unknown
3085502380,4,143670,143670,,2016-08-07,2016-08-07,0,4,Male,Unknown (year Unknown),Oceania (year Unknown),United States (year Unknown),Australia (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2016-08-07),lat:-18.5 long:114.5 (Northwest Australian Shelf 2016-08-07),Unknown
3085502360,4,161731,161731,,2017-01-06,2017-01-06,0,4,Unknown,Unknown (year Unknown),Oceania (year Unknown),United States (year Unknown),Australia (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2017-01-06),lat:-26.5 long:113.5 (Unknown 2017-01-06),Unknown
3089691455,4,101369a,101369a,,2010-10-26,2010-10-26,0,4,Male,Unknown (year Unknown),North America (year Unknown),United States (year Unknown),Mexico (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2010-10-26),lat:22.5 long:-90.5 (Gulf of Mexico 2010-10-26),Unknown
3089691453,4,101369a,101369a,,2010-11-25,2010-11-25,0,4,Male,Unknown (year Unknown),North America (year Unknown),United States (year Unknown),Mexico (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2010-11-25),lat:25.5 long:-94.5 (Gulf of Mexico 2010-11-25),Unknown
3085502336,4,36309,36309,,2017-07-28,2017-07-28,0,4,Unknown,Subadult (year Unknown),Oceania (year Unknown),United States (year Unknown),Australia (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2017-07-28),lat:-18.5 long:115.5 (Northwest Australian Shelf 2017-07-28),Unknown
3089691397,4,101369a,101369a,,2010-10-02,2010-10-02,0,4,Unknown,Unknown (2010),North America (2010),United States (2010),Mexico (2010),Unknown,Telemetry locations aggregated per species per 1-degree cell (2010-10-02),lat:23.5 long:-86.5 (Gulf of Mexico 2010-10-02),Unknown
3089691314,4,101369a,101369a,,2010-10-03,2010-10-03,0,4,Unknown,Unknown (2010),North America (2010),United States (2010),Cuba (2010),Unknown,Telemetry locations aggregated per species per 1-degree cell (2010-10-03),lat:24.5 long:-86.5 (Gulf of Mexico 2010-10-03),Unknown
3089691460,4,101373,101373,,2011-04-23,2011-04-23,0,4,Male,Adult (2011),North America (2011),United States (2011),Belize (2011),Unknown,Telemetry locations aggregated per species per 1-degree cell (2011-04-23),lat:16.5 long:-88.5 (Unknown 2011-04-23),Unknown
3089691444,4,101373,101373,,2011-04-26,2011-04-26,0,4,Male,Adult (2011),North America (2011),United States (2011),Honduras (2011),Unknown,Telemetry locations aggregated per species per 1-degree cell (2011-04-26),lat:15.5 long:-87.5 (Unknown 2011-04-26),Unknown
3089691359,4,101373,101373,,2011-04-20,2011-04-20,0,4,Male,Adult (2011),North America (2011),United States (2011),Belize (2011),Unknown,Telemetry locations aggregated per species per 1-degree cell (2011-04-20),lat:16.5 long:-87.5 (Caribbean Sea 2011-04-20),Unknown
3085502348,4,36309,36309,,2017-07-30,2017-07-30,0,4,Unknown,Subadult (year Unknown),Oceania (year Unknown),United States (year Unknown),Australia (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2017-07-30),lat:-16.5 long:116.5 (Northwest Australian Shelf 2017-07-30),Unknown
3089691312,4,101369a,101369a,,2010-10-28,2010-10-28,0,4,Male,Unknown (year Unknown),North America (year Unknown),United States (year Unknown),Mexico (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2010-10-28),lat:24.5 long:-94.5 (Gulf of Mexico 2010-10-28),Unknown
3089691421,5,101370a,101370a,,2010-11-21,2010-11-21,0,5,Unknown,Unknown (year Unknown),North America (year Unknown),United States (year Unknown),Mexico (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2010-11-21),lat:23.5 long:-95.5 (Gulf of Mexico 2010-11-21),Unknown
3089691417,5,101367a,101367a,,2010-09-08,2010-09-08,0,5,Unknown,Unknown (year Unknown),North America (year Unknown),United States (year Unknown),Mexico (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2010-09-08),lat:22.5 long:-92.5 (Gulf of Mexico 2010-09-08),Unknown
3089691456,5,101369a,101369a,,2010-11-22,2010-11-22,0,5,Male,Unknown (year Unknown),North America (year Unknown),United States (year Unknown),Mexico (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2010-11-22),lat:24.5 long:-95.5 (Gulf of Mexico 2010-11-22),Unknown
3085502430,5,143670,143670,,2016-08-01,2016-08-01,0,5,Unknown,Unknown (year Unknown),Oceania (year Unknown),United States (year Unknown),Australia (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2016-08-01),lat:-19.5 long:114.5 (Northwest Australian Shelf 2016-08-01),Unknown
3085502393,5,161731,161731,,2016-12-19,2016-12-19,0,5,Unknown,Unknown (year Unknown),Oceania (year Unknown),United States (year Unknown),Australia (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2016-12-19),lat:-25.5 long:112.5 (West Central Australian Shelf 2016-12-19),Unknown
3089691411,6,101369a,101369a,,2010-09-12,2010-09-12,0,6,Male,Unknown (year Unknown),North America (year Unknown),United States (year Unknown),Mexico (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2010-09-12),lat:22.5 long:-89.5 (Gulf of Mexico 2010-09-12),Unknown
3085502431,6,161732,161732,,2016-08-31,2016-08-31,0,6,Male,Unknown (year Unknown),Oceania (year Unknown),United States (year Unknown),Australia (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2016-08-31),lat:-19.5 long:116.5 (Northwest Australian Shelf 2016-08-31),Unknown
3089691375,7,101367a,101367a,,2010-09-19,2010-09-19,0,7,Unknown,Adult (year Unknown),North America (year Unknown),United States (year Unknown),Mexico (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2010-09-19),lat:21.5 long:-87.5 (Gulf of Mexico 2010-09-19),Unknown
3089691395,8,101369a,101369a,,2010-08-17,2010-08-17,0,8,Unknown,Unknown (year Unknown),North America (year Unknown),United States (year Unknown),Mexico (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2010-08-17),lat:22.5 long:-86.5 (Gulf of Mexico 2010-08-17),Unknown
3089691436,8,101367a,101367a,,2010-08-30,2010-08-30,0,8,Unknown,Unknown (year Unknown),North America (year Unknown),United States (year Unknown),Mexico (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2010-08-30),lat:22.5 long:-88.5 (Gulf of Mexico 2010-08-30),Unknown
3089691454,8,101367a,101367a,,2010-08-21,2010-08-21,0,8,Unknown,Unknown (year Unknown),North America (year Unknown),United States (year Unknown),Mexico (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2010-08-21),lat:22.5 long:-87.5 (Gulf of Mexico 2010-08-21),Unknown
3085502417,9,143670,143670,,2016-06-07,2016-06-07,0,9,Unknown,Unknown (year Unknown),Oceania (year Unknown),United States (year Unknown),Australia (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2016-06-07),lat:-20.5 long:114.5 (Northwest Australian Shelf 2016-06-07),Unknown
3085502381,18,143669,143669,,2016-06-08,2016-06-08,0,18,Unknown,Unknown (year Unknown),Oceania (year Unknown),United States (year Unknown),Australia (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2016-06-08),lat:-20.5 long:115.5 (Northwest Australian Shelf 2016-06-08),Unknown
3085502387,19,143669,143669,,2016-06-14,2016-06-14,0,19,Unknown,Unknown (year Unknown),Oceania (year Unknown),United States (year Unknown),Australia (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2016-06-14),lat:-19.5 long:115.5 (Northwest Australian Shelf 2016-06-14),Unknown
3085502397,20,143669,143669,,2016-06-07,2016-06-07,0,20,Unknown,Unknown (year Unknown),Oceania (year Unknown),United States (year Unknown),Australia (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2016-06-07),lat:-21.5 long:114.5 (Northwest Australian Shelf 2016-06-07),Unknown
3085502404,21,143669,143669,,2016-06-01,2016-06-01,0,21,Unknown,Unknown (year Unknown),Oceania (year Unknown),United States (year Unknown),Australia (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2016-06-01),lat:-21.5 long:113.5 (Northwest Australian Shelf 2016-06-01),Unknown
3089691322,23,101366a,101366a,,2010-07-23,2010-07-23,0,23,Unknown,Unknown (year Unknown),North America (year Unknown),United States (year Unknown),Mexico (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2010-07-23),lat:21.5 long:-86.5 (Caribbean Sea 2010-07-23),Unknown
3085502353,25,143669,143669,,2016-06-03,2016-06-03,0,25,Unknown,Unknown (year Unknown),Oceania (year Unknown),United States (year Unknown),Australia (year Unknown),Unknown,Telemetry locations aggregated per species per 1-degree cell (2016-06-03),lat:-22.5 long:113.5 (West Central Australian Shelf 2016-06-03),Unknown
